HKE_inspection_defect_code,defect_section_en,defect_type,defect_description_en,defect_tips_description_en,,,,,
2MWLF,Meter Position,Supply Rule,"Departure:
Meter leads and meter tails not long enough for meter fixing.","Rectification Tips:
Replaced by sufficient long meter leads and meter tails for meter fixing in according to the above table.",,,,,
2MWXG,Meter Position,Supply Rule,"Departure:
Two sets of main wires not combined into one set.","Rectification Tips:
Only one set of main wires is allowed.",,,,,
2OPXI,Meter Position,Supply Rule,"Departure:
Openings in C.T. chamber not well covered.","Rectification Tips:
Openings in C.T. chamber shall be well covered.",,,,,
2UEXM,Meter Position,Supply Rule,"Departure:
Unauthorized extension not removed.","Rectification Tips:
Unauthorized extension shall be removed.",,,,,
2FCZA,Rising Mains,Supply Rule,"Departure:
Fuse link not installed in cutout.","Rectification Tips:
Fuse link shall be installed in cutout.",,,,,
2KMXF,Rising Mains,Supply Rule,"Departure:
Master key for meter duct/room not provided.","Rectification Tips:
Master key for meter duct/room shall be provided.",,,,,
2LUXF,Rising Mains,Supply Rule,"Departure:
Lighting point for meter room not provided.","Rectification Tips:
Lighting point for meter room shall be provided.",,,,,
2RMSF,Rising Mains,Supply Rule,"Departure:
Local riser switch for multi-customer rising mains at each tower not installed.","Rectification Tips:
Install local riser switch for multi-customer rising mains at each tower.",,,,,
2INXS,Other,,"Departure:
Miscellaneous uncommon departures.","Rectification Tips:
Rectify the defect to meet the requirements of HK Electric's Supply Rules..",,,,,
,,,,,,,,,
